Current Day of the year,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
102,0.013,-0.172,5,0.093,-0.451,-0.029,-0.523,-0.019
103,0.068,0.039,0,0,0.049,0.001,-0.044,-0.004
104,0.092,-0.085,-4,-0.069,0.097,0.012,0.076,0.006
105,0.025,0.491,15,0.484,-0.06,-0.011,0.799,0.016
106,0.134,-0.135,-6,-0.162,-0.142,-0.002,0.084,0.004
107,0.158,-0.537,-24,-0.393,0.523,0.047,-0.466,-0.01
109,0.014,-0.168,8,0.151,-0.38,-0.02,-0.419,-0.012
110,0.068,0.025,0,0,-0.048,-0.006,-0.165,-0.009
111,0.073,-0.089,-3,-0.054,-0.003,0.005,-0.055,0
112,0.024,0.387,16,0.533,-0.224,-0.027,0.615,0.015
113,0.14,-0.065,-7,-0.189,0.027,0.014,0.239,0.007
114,0.164,-0.537,-27,-0.422,0.317,0.037,-0.485,-0.011
116,0.003,-0.187,11,0.208,-0.327,-0.015,-0.466,-0.016
117,0.07,0.03,0,0,0.019,-0.001,-0.095,-0.006
118,0.102,-0.093,-4,-0.07,-0.086,-0.001,-0.064,0
119,0.024,0.348,16,0.533,-0.23,-0.027,0.404,0.011
120,0.133,-0.042,-7,-0.189,0,0.01,0.39,0.01
121,0.161,-0.528,-28,-0.431,0.251,0.034,-0.512,-0.013
123,0.013,-0.2,12,0.226,-0.316,-0.014,-0.461,-0.017
124,0.067,0.027,1,0.019,-0.028,-0.004,-0.117,-0.008
125,0.087,-0.088,-4,-0.071,0.011,0.006,0.104,0.008
126,0.024,0.314,15,0.5,-0.172,-0.02,0.355,0.011
127,0.145,-0.006,-6,-0.167,0.007,0.009,0.521,0.012
128,0.154,-0.529,-30,-0.455,0.131,0.029,-0.553,-0.015
130,0.016,-0.208,15,0.294,-0.228,-0.006,-0.405,-0.014
131,0.07,0.025,0,0,0.012,-0.001,-0.066,-0.004
132,0.084,-0.078,-3,-0.056,0.029,0.007,-0.049,0
133,0.011,0.234,14,0.483,-0.263,-0.028,0.195,0.007
134,0.148,0.042,-4,-0.121,0.02,0.009,0.569,0.013
135,0.152,-0.518,-35,-0.515,0.157,0.031,-0.544,-0.016
137,0.028,-0.219,17,0.333,-0.226,-0.006,-0.409,-0.015
138,0.067,0.017,0,0,0.014,0,-0.068,-0.005
139,0.079,-0.076,-3,-0.056,0.017,0.006,0.002,0.003
140,0.007,0.197,15,0.536,-0.264,-0.027,0.087,0.005
141,0.158,0.079,-5,-0.152,0.067,0.012,0.703,0.016
142,0.151,-0.503,-37,-0.529,0.118,0.028,-0.53,-0.015
144,0.031,-0.232,18,0.346,-0.139,0.001,-0.356,-0.011
145,0.067,0.017,1,0.02,0.029,0,-0.1,-0.006
146,0.075,-0.074,-4,-0.073,0.001,0.004,0.016,0.004
147,0.008,0.176,13,0.433,-0.195,-0.017,0.037,0.003
148,0.17,0.102,-5,-0.143,-0.02,0.002,0.701,0.016
149,0.126,-0.496,-36,-0.507,0.165,0.03,-0.479,-0.012
151,0.043,-0.246,18,0.34,-0.182,-0.003,-0.405,-0.014
152,0.068,0.011,2,0.039,0.007,-0.001,-0.137,-0.009
153,0.075,-0.071,-5,-0.089,0.003,0.004,0.005,0.003
154,0.002,0.129,14,0.467,-0.248,-0.022,-0.014,0.002
155,0.169,0.125,-3,-0.091,-0.019,0.002,0.8,0.018
156,0.134,-0.469,-35,-0.515,0.01,0.021,-0.536,-0.015
158,0.047,-0.261,15,0.283,-0.113,0.002,-0.408,-0.016
159,0.067,0.006,2,0.039,-0.001,-0.001,-0.088,-0.006
160,0.075,-0.068,-3,-0.056,0.021,0.006,0.029,0.004
161,-0.009,0.095,13,0.433,-0.223,-0.019,-0.079,-0.001
162,0.182,0.144,-2,-0.063,-0.032,0.001,0.838,0.022
163,0.121,-0.445,-32,-0.5,0.107,0.028,-0.451,-0.012
165,0.059,-0.279,12,0.231,-0.117,0.002,-0.402,-0.016
166,0.067,0.003,1,0.02,-0.017,-0.002,-0.1,-0.006
167,0.075,-0.061,-4,-0.073,0.043,0.006,0.013,0.003
168,-0.009,0.048,12,0.387,-0.258,-0.021,-0.225,-0.009
169,0.182,0.186,-2,-0.061,-0.014,0.001,1.104,0.028
170,0.118,-0.425,-26,-0.441,0.092,0.026,-0.426,-0.011
172,0.062,-0.298,6,0.113,-0.129,0.001,-0.424,-0.017
173,0.067,-0.001,1,0.019,0.052,0.003,-0.108,-0.007
174,0.073,-0.058,-4,-0.071,0.02,0.005,0.03,0.004
175,-0.009,-0.003,13,0.419,-0.29,-0.023,-0.217,-0.007
176,0.182,0.227,-2,-0.061,0.001,0,0.974,0.026
177,0.118,-0.397,-24,-0.421,0.127,0.028,-0.373,-0.009
179,0.063,-0.312,3,0.056,-0.113,0.002,-0.434,-0.018
180,0.067,-0.002,1,0.019,0.048,0.002,-0.119,-0.008
181,0.075,-0.047,-4,-0.07,-0.016,0.002,0.018,0.003
182,-0.003,-0.021,13,0.406,-0.213,-0.013,-0.208,-0.007
182,0.081,-0.101,-4,-0.066,0.014,0.006,0.045,0.006
183,0.176,0.272,-4,-0.111,0.009,0,0.968,0.026
184,0.112,-0.392,-21,-0.368,0.023,0.019,-0.294,-0.004
186,0.063,-0.322,0,0,0.077,0.014,-0.335,-0.01
187,0.067,-0.012,3,0.056,-0.056,-0.004,-0.183,-0.01
188,0.075,-0.057,-4,-0.069,-0.009,0.002,0.004,0.002
189,-0.002,-0.054,13,0.406,-0.271,-0.017,-0.302,-0.012
189,0.077,-0.104,-4,-0.065,-0.037,0.003,-0.029,0.002
190,0.174,0.255,-1,-0.03,-0.117,-0.011,0.949,0.026
191,0.101,-0.356,-20,-0.377,0.005,0.017,-0.363,-0.008
193,0.078,-0.33,-4,-0.07,-0.101,0.004,-0.473,-0.022
194,0.067,-0.015,3,0.056,0.028,0.001,-0.091,-0.007
195,0.075,-0.051,-5,-0.085,0.022,0.005,0.032,0.004
196,-0.009,-0.064,10,0.194,-0.187,0.009,-0.271,-0.012
196,0.077,-0.096,-5,-0.078,0.019,0.006,0.008,0.004
197,0.171,0.266,0,0,-0.078,-0.008,0.925,0.03
198,0.099,-0.332,-18,-0.346,0.081,0.023,-0.24,-0.004
200,0.082,-0.341,-5,-0.088,-0.049,0.008,-0.435,-0.019
201,0.067,-0.02,1,0.018,-0.02,-0.002,-0.134,-0.009
202,0.072,-0.044,-3,-0.051,0.013,0.004,0.035,0.004
203,0.077,-0.1,-5,-0.078,-0.001,0.005,0.043,0.006
204,0.158,0.276,1,0.029,-0.097,-0.01,0.904,0.03
205,0.1,-0.312,-17,-0.327,0.029,0.017,-0.185,-0.001
207,0.087,-0.352,-5,-0.088,0.021,0.013,-0.446,-0.019
208,0.063,-0.025,0,0,-0.02,-0.002,-0.167,-0.011
209,0.077,-0.041,-2,-0.034,0.04,0.005,0.055,0.005
210,0.081,-0.099,-6,-0.092,0.006,0.005,0.035,0.006
211,0.158,0.282,2,0.056,-0.128,-0.013,0.844,0.029
212,0.099,-0.295,-16,-0.308,0.046,0.017,-0.122,0.001
214,0.088,-0.361,-6,-0.098,-0.007,0.011,-0.451,-0.019
215,0.061,-0.027,1,0.011,-0.089,-0.007,-0.208,-0.014
216,0.087,-0.034,-3,-0.05,0.051,0.005,0.073,0.006
217,0.076,-0.097,-5,-0.077,0.042,0.007,0.053,0.007
218,0.154,0.275,3,0.083,-0.149,-0.015,0.795,0.028
219,0.086,-0.276,-15,-0.294,0.046,0.017,-0.126,0
221,0.097,-0.366,-7,-0.125,0.049,0.015,-0.449,-0.019
222,0.058,-0.035,1,0.022,-0.03,-0.002,-0.159,-0.01
223,0.087,-0.032,-3,-0.05,-0.011,0.001,0.073,0.006
224,0.078,-0.092,-6,-0.091,0.071,0.009,0.022,0.005
225,0.16,0.269,4,0.111,-0.149,-0.014,0.712,0.025
226,0.074,-0.265,-14,-0.28,0.005,0.013,-0.089,0.002
228,0.105,-0.369,-9,-0.151,0.045,0.015,-0.459,-0.02
229,0.059,-0.041,1,0.016,-0.01,0,-0.173,-0.011
230,0.084,-0.028,-3,-0.049,0,0.001,0.079,0.006
231,0.078,-0.092,-6,-0.09,0.033,0.007,0.036,0.006
232,0.147,0.263,5,0.135,-0.156,-0.014,0.67,0.024
233,0.074,-0.252,-14,-0.275,-0.022,0.01,-0.086,0.002
235,0.108,-0.376,-9,-0.144,0.042,0.014,-0.454,-0.019
236,0.061,-0.046,1,0.009,-0.015,0,-0.191,-0.012
237,0.08,-0.025,-4,-0.063,-0.027,0,0.129,0.009
238,0.079,-0.092,-5,-0.074,0.089,0.009,0.022,0.005
239,0.147,0.261,6,0.158,-0.122,-0.011,0.702,0.024
240,0.074,-0.244,-13,-0.255,-0.025,0.009,-0.087,0.002
242,0.111,-0.381,-9,-0.153,0.02,0.013,-0.465,-0.02
243,0.065,-0.04,0,0.003,0.002,0,-0.19,-0.012
244,0.073,-0.017,-4,-0.063,0.065,0.004,0.111,0.007
245,0.089,-0.094,-5,-0.072,-0.019,0.003,0.003,0.004
246,0.141,0.26,6,0.15,-0.17,-0.014,0.728,0.025
247,0.079,-0.244,-11,-0.216,-0.066,0.006,-0.099,0.001
249,0.108,-0.388,-10,-0.161,0.059,0.017,-0.468,-0.019
250,0.054,-0.05,1,0.014,-0.018,-0.001,-0.157,-0.009
251,0.081,-0.012,-4,-0.063,0.079,0.005,0.253,0.013
252,0.078,-0.094,-7,-0.099,0.006,0.005,-0.049,0.001
253,0.14,0.257,8,0.205,0.333,0.025,0.741,0.023
254,0.074,-0.229,-11,-0.22,-0.01,0.01,-0.079,0.002
256,0.116,-0.387,-11,-0.186,0.013,0.013,-0.488,-0.021
257,0.05,-0.058,1,0.024,-0.094,-0.005,-0.198,-0.011
258,0.083,0.018,-4,-0.063,0.051,0.001,0.187,0.008
259,0.078,-0.116,-6,-0.086,0.027,0.008,-0.058,0.002
260,0.144,0.267,7,0.175,-0.142,-0.012,0.732,0.028
261,0.074,-0.224,-10,-0.2,-0.075,0.005,-0.049,0.003
263,0.118,-0.39,-12,-0.195,0.122,0.02,-0.443,-0.018
264,0.049,-0.063,1,0.018,-0.027,0,-0.222,-0.013
265,0.082,-0.004,-5,-0.076,-0.289,-0.024,0.208,0.013
266,0.078,-0.088,-5,-0.07,0.417,0.029,-0.046,0
267,0.133,0.282,7,0.167,-0.122,-0.01,0.796,0.029
268,0.074,-0.226,-8,-0.16,-0.08,0.005,-0.048,0.003
270,0.121,-0.391,-13,-0.203,0.079,0.017,-0.451,-0.019
271,0.052,-0.065,1,0.012,-0.001,0.001,-0.241,-0.015
272,0.076,-0.001,-5,-0.075,0.012,0,0.14,0.008
273,0.078,-0.078,-5,-0.069,0.031,0.006,0.055,0.007
274,0.133,0.297,7,0.163,-0.202,-0.017,0.686,0.026
275,0.074,-0.229,-8,-0.157,-0.269,-0.012,-0.065,0.004
277,0.124,-0.393,-12,-0.195,0.409,0.038,-0.441,-0.019
